year,rec,comm
1981,5227057,5500078
1982,2420649,6251633
1983,6035594,6751445
1984,1537442,5669450
1985,2187298,4189043
1986,1555618,3700487
1987,1271348,3068614
1988,1076967,3959864
1989,1311842,3098362
1990,711907,2650612
1991,1199345,2213187
1992,2190285,3106499
1993,3005926,3373928
1994,1878308,3222351
1995,1660999,2934109
1996,1310981,4313063
1997,1752775,4809956
1998,2020418,4679660
1999,2214942,4875956
2000,1480526,4837119
2001,1926698,4625275
2002,2553988,4782821
2003,1937978,4410674
2004,2304161,4652969
2005,1542390,4103699
2006,1675256,4654418
2007,2294452,3179346
2008,1310132,2482371
2009,1469738,2483432
2010,1151308,3391013
2011,1511450,3594398
2012,1515591,4036399
2013,2423830,5448511
2014,1105511,5564111
2015,1459605,7176497
2016,1708183,6723483
